name,slug,% of GDP,date_of_information,ranking,region
"Algeria","algeria","27.5","2017",173,"Africa"
"Iraq","iraq","27.4","2018",174,"Middle East"
"Kiribati","kiribati","26.3","2017",175,"Australia and Oceania"
"West Bank","west-bank","24.4","2014",176,"Middle East"
"Uzbekistan","uzbekistan","24.3","2017",177,"Central Asia"
"Chile","chile","23.6","2017",178,"South America"
"Luxembourg","luxembourg","23","2017",179,"Europe"
"Guam","guam","22.1","2016",180,"Australia and Oceania"
"Nigeria","nigeria","21.8","2017",181,"Africa"
"Kosovo","kosovo","21.2","2017",182,"Europe"
"Kazakhstan","kazakhstan","20.8","2023",183,"Central Asia"
"Kuwait","kuwait","20.6","2017",184,"Middle East"
"Switzerland","switzerland","20.1","2023",185,"Europe"
"Anguilla","anguilla","20.1","2015",186,"Central America and the Caribbean"
"United Arab Emirates","united-arab-emirates","19.7","2017",187,"Middle East"
"Botswana","botswana","19.6","2020",188,"Africa"
"Paraguay","paraguay","19.5","2017",189,"South America"
"Russia","russia","19","2023",190,"Central Asia"
"Saudi Arabia","saudi-arabia","17.2","2017",191,"Middle East"
"Azerbaijan","azerbaijan","16.8","2021",192,"Central Asia"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16","2022",193,"Africa"
"Solomon Islands","solomon-islands","15.4","2022",194,"Australia and Oceania"
"Greenland","greenland","13","2015",195,"North America"
"American Samoa","american-samoa","12.2","2016",196,"Australia and Oceania"
"Northern Mariana Islands","northern-mariana-islands","7.1","2017",197,"Australia and Oceania"
"Afghanistan","afghanistan","7","2017",198,"South Asia"
"New Caledonia","new-caledonia","6.5","2015",199,"Australia and Oceania"
"Libya","libya","4.7","2017",200,"Africa"
"Namibia","namibia","4.64","2019",201,"Africa"
"Timor-Leste","timor-leste","3.8","2017",202,"East and Southeast Asia"
"Lesotho","lesotho","3","2020",203,"Africa"
"Brunei","brunei","2.8","2017",204,"East and Southeast Asia"
"Hong Kong","hong-kong","0.1","2017",205,"East and Southeast Asia"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2015",206,"South America"
"Macau","macau","0","2017",207,"East and Southeast Asia"
